date,product_id,product_name,price,units_sold,total_amount
2024-12-18,SP6139,Marker Set,455.52,1,455.52
2023-10-14,SP3406,Sunscreen,353.14,29,10241.06
2024-10-21,HO8244,Tie,351.76,42,14773.92
2024-02-19,HO2380,Mascara,28.12,22,618.64
2024-02-04,EL9527,Speaker,496.04,19,9424.76
2023-08-07,BE6115,File Cabinet,265.45,49,13007.05
2024-10-12,HO1456,Refrigerator,446.26,35,15619.1
2024-08-29,CL5979,Electric Shaver,365.99,33,12077.67
2023-04-24,EL7110,Slippers,137.28,33,4530.24
2023-12-29,BE3043,Measuring Cups,229.88,37,8505.56
2023-01-06,TO4868,Sunscreen,404.64,38,15376.32
2024-08-02,EL4831,Tea Set,181.67,19,3451.73
2024-11-13,EL3293,Gloves,360.03,34,12241.02
2023-09-11,BE9461,Treadmill,295.36,50,14768.0
2024-01-05,TO3401,Deodorant,358.7,27,9684.9
2023-03-25,BE7961,Deodorant,445.37,31,13806.47
2023-08-08,TO7050,Refrigerator,341.64,26,8882.64
2024-08-25,SP7468,Electric Shaver,437.29,38,16617.02
2024-05-25,EL8210,Standing Desk,347.62,32,11123.84
2024-03-02,HO9286,Necklace,72.29,46,3325.34
2024-04-13,HO9669,Measuring Cups,67.85,14,949.9
2024-04-11,TO3569,Foundation,472.59,24,11342.16
2023-05-02,SP2807,Hair Oil,69.22,37,2561.14
2023-10-24,BE3511,Induction Cooktop,67.69,20,1353.8
2024-01-19,CL8961,Hair Dryer,23.71,10,237.1
2023-05-26,SP1797,Carrom Board,469.04,20,9380.8
2023-10-18,HO9008,Power Bank,11.02,36,396.72
2023-12-24,BE7841,Sunscreen,245.78,20,4915.6
2024-08-02,TO7181,Skateboard,242.86,47,11414.42
2024-09-12,HO9270,File Cabinet,321.87,49,15771.63
2024-04-05,EL3440,Punching Bag,434.51,21,9124.71
2023-04-02,SP7711,Washing Machine,199.75,26,5193.5
2023-12-14,SP8259,Mirror,370.6,42,15565.2
2023-04-01,HO6060,Dart Board,284.91,8,2279.28
2024-10-21,SP4152,Moisturizer,478.03,35,16731.05
2024-08-13,BE9548,Marker Set,102.8,31,3186.8
2024-05-29,BE9713,Mixer Grinder,98.07,2,196.14
2023-10-09,HO8278,Track Pants,51.48,35,1801.8
2024-09-13,CL1737,Earrings,250.82,2,501.64
2023-12-15,TO7798,Smartwatch,21.79,34,740.86
2023-11-21,TO2491,Suitcase,66.18,7,463.2600000000001
2024-07-08,HO3359,Grill Pan,99.51,50,4975.5
2023-04-02,HO7672,Slippers,342.52,4,1370.08
2024-09-21,CL1445,Gloves,359.52,20,7190.4
2024-02-04,BE3334,Suitcase,212.28,21,4457.88
2023-09-22,TO1849,Juicer,109.25,49,5353.25
2024-09-03,SP9076,Grill Pan,259.22,33,8554.26
2024-01-30,BE1993,Table Runner,165.98,36,5975.28
2024-02-21,BE1473,Suitcase,209.67,15,3145.05
2023-01-20,CL2663,Induction Cooktop,130.69,36,4704.84
2024-10-29,HO7664,Table Runner,228.53,41,9369.73
2024-05-27,HO7116,Earbuds,274.82,11,3023.02
2023-09-09,SP8401,Hoodie,30.48,30,914.4
2024-09-27,CL1008,Gaming Console,39.49,31,1224.19
2023-10-07,SP7228,Tea Set,499.63,41,20484.83
2023-08-06,SP5609,Fountain Pen,32.29,48,1549.92
2024-06-30,SP5925,Refrigerator,53.96,45,2428.2
2023-05-06,HO5578,Measuring Cups,440.36,14,6165.04
2024-09-17,SP6613,Smartwatch,321.23,49,15740.27
2024-12-25,TO5029,Power Bank,334.52,21,7024.92
2023-12-16,HO6381,Resistance Bands,17.78,45,800.1
2023-05-17,EL8807,Earrings,12.1,1,12.1
2024-11-19,HO9011,Router,383.61,35,13426.35
2023-03-25,EL9825,Diary,25.16,43,1081.88
2024-03-31,EL6783,Smartwatch,486.3,25,12157.5
2024-09-07,CL3903,Washing Machine,421.18,45,18953.1
2023-01-09,BE7069,Hair Dryer,468.76,29,13594.04
2023-01-10,HO5606,Measuring Cups,343.47,46,15799.62
2024-01-02,HO5967,Ergonomic Chair,406.12,15,6091.8
2023-08-28,TO1602,Suitcase,147.57,46,6788.219999999999
2024-12-24,SP1116,File Cabinet,106.08,41,4349.28
2024-02-10,BE9197,Graphic Card,252.07,36,9074.52
2023-07-18,EL3875,Badminton Racket,42.03,9,378.27
2023-03-08,HO4734,Graphic Card,441.69,47,20759.43
2023-10-08,HO9731,Earbuds,311.08,44,13687.52
2024-07-27,TO7997,Moisturizer,324.07,42,13610.94
2023-02-23,CL7666,Baking Tray,144.28,44,6348.32
2024-06-14,TO6922,File Cabinet,263.46,3,790.3799999999999
2023-08-18,BE7882,Hoverboard,270.88,21,5688.48
2023-01-06,TO6483,Earbuds,50.09,37,1853.33
2023-01-26,EL7943,Track Pants,479.31,16,7668.96
2023-07-21,HO6092,Volleyball,40.79,41,1672.39
2023-04-10,BE8077,Hoodie,405.95,38,15426.1
2024-10-03,CL5049,Air Conditioner,62.84,16,1005.44
2023-12-15,BE9514,Speaker,399.11,5,1995.55
2024-09-06,SP2567,Air Conditioner,316.42,38,12023.96
2023-05-08,BE1546,Duffel Bag,194.92,45,8771.4
2023-03-08,HO8240,Mattress,36.85,40,1474.0
2024-10-03,TO2668,Dart Board,342.01,36,12312.36
2023-02-23,CL7581,Earbuds,56.96,49,2791.04
2024-02-25,HO1173,Ergonomic Chair,232.17,30,6965.099999999999
2024-03-14,SP2659,Foundation,176.41,44,7762.04
2023-01-27,TO6377,Foundation,298.03,7,2086.21
2023-04-16,BE2106,Fountain Pen,300.51,13,3906.63
2024-08-09,HO5198,Mascara,184.14,31,5708.339999999999
2024-09-27,TO4983,Boots,77.46,3,232.38
2023-03-03,HO8140,Tea Set,261.43,42,10980.06
2024-01-02,CL9866,Punching Bag,389.99,10,3899.9
2024-04-25,CL6618,Slippers,152.62,1,152.62
2024-06-14,SP1939,Hoverboard,126.32,36,4547.52
2023-02-25,TO4201,Hoverboard,488.49,41,20028.09
2023-07-26,BE4102,Alarm Clock,337.25,45,15176.25
2024-12-09,TO6425,Fountain Pen,427.48,37,15816.76
2023-12-10,SP7859,Washing Machine,171.02,7,1197.14
2024-04-10,BE4594,Duffel Bag,460.78,41,18891.98
2023-08-17,EL8643,Hair Dryer,315.72,16,5051.52
2024-05-07,EL7158,Duvet,110.61,12,1327.32
2023-01-07,CL2208,Air Conditioner,185.36,36,6672.960000000001
2023-04-28,HO8215,Badminton Racket,105.26,38,3999.88
2024-01-04,BE4262,Punching Bag,106.93,12,1283.16
2023-08-13,CL6567,Smartwatch,425.29,16,6804.64
2023-07-02,HO3884,Speaker,423.01,7,2961.07
2023-01-22,EL7208,Treadmill,330.89,8,2647.12
2023-12-13,HO8474,Mascara,127.67,24,3064.08
2024-11-07,HO8106,Foundation,440.41,5,2202.05
2023-05-02,HO4107,Electric Shaver,103.92,25,2598.0
2024-12-12,CL8037,File Cabinet,488.72,16,7819.52
2023-02-17,SP4098,Standing Desk,428.67,19,8144.73
2023-06-02,CL1872,Mixer Grinder,318.43,18,5731.74
2023-05-10,SP9011,Tablet,112.53,6,675.1800000000001
2024-04-26,EL2062,Hoodie,92.04,25,2301.0
2024-10-22,SP9168,Moisturizer,264.26,12,3171.12
2023-11-26,EL9609,Carrom Board,350.31,46,16114.26
2024-05-21,TO7569,Tablet,322.67,38,12261.46
2024-10-27,BE4596,Resistance Bands,448.49,29,13006.21
2023-08-29,TO6013,Earrings,218.26,25,5456.5
2024-08-08,HO5170,File Cabinet,279.77,9,2517.93
2023-03-28,CL9500,Earrings,182.27,38,6926.26
2023-02-12,TO6511,Tablet,218.79,30,6563.7
2024-03-18,TO9151,Earrings,165.34,25,4133.5
2023-01-26,HO4830,Dart Board,140.16,5,700.8
2024-01-03,BE9220,Washing Machine,261.27,42,10973.34
2023-03-22,CL2612,Standing Desk,68.11,24,1634.64
2023-02-09,SP6468,Diary,106.36,22,2339.92
2023-09-14,CL4123,Gloves,355.76,9,3201.84
2024-07-10,CL5906,Measuring Cups,148.1,23,3406.3
2024-02-18,TO1194,Dart Board,241.28,33,7962.24
2023-06-02,TO4717,Resistance Bands,364.43,14,5102.02
2024-04-30,HO8679,Ergonomic Chair,364.03,30,10920.9
2023-12-15,BE4077,Mirror,220.11,45,9904.95
2024-03-03,HO8372,Track Pants,427.94,2,855.88
2024-01-19,HO3102,Deodorant,159.73,48,7667.039999999999
2023-01-10,TO6567,Electric Shaver,120.49,28,3373.72
2024-12-03,TO5909,Router,169.78,2,339.56
2024-08-04,BE3518,Power Bank,488.85,22,10754.7
2024-08-04,EL7404,Induction Cooktop,490.28,14,6863.92
2024-02-05,BE7331,Fountain Pen,102.29,7,716.0300000000001
2023-12-03,SP5991,Hair Dryer,55.69,7,389.83
2024-11-22,SP1525,Duffel Bag,414.97,39,16183.830000000002
2024-05-15,BE4260,Earrings,44.05,25,1101.25
2023-10-18,HO5769,Hoodie,333.19,5,1665.95
2024-04-10,BE9495,Track Pants,15.41,21,323.61
2024-02-25,TO2814,Fountain Pen,73.28,27,1978.56
2024-05-04,EL7373,Slippers,478.0,14,6692.0
2023-05-14,HO8081,Baking Tray,410.77,43,17663.11
2024-05-01,HO6084,Treadmill,297.87,33,9829.71
2024-12-02,TO4304,Washing Machine,13.65,10,136.5
2024-04-01,BE5044,Table Runner,267.67,37,9903.79
2024-05-17,TO1640,Mascara,371.27,19,7054.129999999999
2024-10-23,TO5873,Moisturizer,201.63,12,2419.56
2024-03-01,HO8079,Duffel Bag,234.34,43,10076.62
2023-07-07,EL2565,Treadmill,202.84,3,608.52
2023-09-03,HO9810,File Cabinet,153.03,5,765.15
2024-12-15,EL9085,Duffel Bag,211.53,49,10364.97
2024-07-20,BE2253,Earrings,380.14,33,12544.62
2023-11-30,TO3700,Dart Board,133.86,33,4417.38
2023-02-15,TO2199,Dart Board,323.04,44,14213.76
2024-04-17,TO7542,Juicer,429.33,26,11162.58
2023-02-08,BE2878,Fountain Pen,357.46,9,3217.14
2023-12-01,EL8942,Chess Set,236.06,6,1416.36
2024-07-15,EL8171,Hair Dryer,78.73,18,1417.14
2023-06-15,HO2646,Juicer,96.85,8,774.8
2024-07-01,EL3759,Juicer,48.02,49,2352.98
2023-01-12,EL3514,Duvet,225.92,12,2711.04
2023-08-10,EL9721,Tablet,115.92,45,5216.4
2023-02-18,EL2684,Slippers,201.4,20,4028.0
2024-03-30,BE1076,Volleyball,33.85,25,846.25
2023-07-26,HO4908,Duffel Bag,107.99,2,215.98
2024-03-07,BE6523,Mixer Grinder,412.06,44,18130.64
2024-11-16,BE2582,Sunscreen,400.49,43,17221.07
2023-06-21,EL1721,Boots,213.68,7,1495.76
2023-12-01,CL4105,Treadmill,316.09,35,11063.15
2024-02-09,TO4807,Mixer Grinder,114.75,23,2639.25
2023-11-28,HO7588,Fountain Pen,330.46,1,330.46
2024-02-03,HO4606,Standing Desk,42.35,18,762.3000000000001
2024-10-27,SP1719,File Cabinet,42.99,14,601.86
2024-02-25,CL9185,Measuring Cups,491.72,7,3442.04
2024-12-30,SP3809,Graphic Card,133.45,7,934.15
2024-09-06,CL3177,Power Bank,172.7,41,7080.7
2024-12-05,CL2106,Measuring Cups,174.2,39,6793.799999999999
2024-08-22,TO9372,Graphic Card,323.89,15,4858.349999999999
2024-05-30,SP4811,Hoodie,20.39,49,999.11
2023-05-08,CL8020,Gaming Console,381.05,40,15242.0
2023-03-23,BE7136,Measuring Cups,254.38,13,3306.94
2023-06-05,TO1621,Skateboard,126.65,47,5952.55
2024-09-04,TO3199,Hair Dryer,146.28,42,6143.76
2023-02-10,SP5726,Standing Desk,377.77,15,5666.549999999999
2023-12-06,CL4372,Boots,274.26,43,11793.18
2023-09-12,EL7250,Slippers,265.52,12,3186.24
2024-03-28,EL2058,Induction Cooktop,436.23,5,2181.15
2023-07-17,BE4345,Moisturizer,71.52,12,858.24
2024-08-29,SP4871,Deodorant,258.64,28,7241.92
2024-04-23,CL4236,Grill Pan,130.01,12,1560.12
2024-09-12,HO5675,Moisturizer,292.45,41,11990.45
2023-07-26,CL2310,Baking Tray,476.0,24,11424.0
2024-02-12,TO8712,Air Conditioner,226.27,33,7466.910000000001
2024-09-16,EL3553,Moisturizer,411.61,31,12759.91
2023-01-21,TO2363,Sunscreen,381.84,20,7636.799999999999
2024-09-01,SP3878,Electric Shaver,136.07,30,4082.1
2023-11-10,TO7146,Alarm Clock,285.45,31,8848.949999999999
2023-03-15,CL8688,Gloves,105.9,13,1376.7
2023-01-05,BE7131,Speaker,250.81,27,6771.87
2024-02-09,EL7292,Chess Set,249.88,42,10494.96
2024-08-25,BE1636,Slippers,496.31,8,3970.48
2024-01-30,SP4182,Sunscreen,383.85,17,6525.450000000001
2023-12-23,SP7032,Mattress,351.26,42,14752.92
2024-01-30,TO4970,Juicer,244.09,24,5858.16
2024-10-08,EL3422,Punching Bag,138.05,30,4141.5
2024-11-28,HO5053,Dart Board,305.05,43,13117.15
2023-06-15,BE2512,Earbuds,325.75,25,8143.75
2024-02-12,EL2316,Mattress,264.08,13,3433.04
2024-03-09,HO5143,Ergonomic Chair,349.0,33,11517.0
2024-06-29,EL6045,Suitcase,369.63,49,18111.87
2023-04-02,BE6642,Tablet,408.97,18,7361.460000000001
2023-08-03,EL6047,Carrom Board,13.15,11,144.65
2024-05-18,BE2144,Mattress,389.13,27,10506.51
2024-06-21,TO8060,Baking Tray,93.61,24,2246.64
2023-07-10,EL4244,Fountain Pen,248.37,33,8196.210000000001
2023-04-23,TO4482,Smartwatch,100.96,4,403.84
2023-07-07,HO7697,Track Pants,225.96,40,9038.4
2023-04-22,EL2307,Router,153.63,25,3840.75
2023-05-08,CL6605,Resistance Bands,24.54,16,392.64
2024-05-04,TO1155,Measuring Cups,39.92,49,1956.08
2023-01-08,EL1685,Sunscreen,57.45,34,1953.3
2023-01-08,TO9520,Hoverboard,493.58,49,24185.42
2023-09-30,TO6521,Juicer,306.14,22,6735.08
2024-01-15,EL6164,Graphic Card,410.26,24,9846.24
2024-11-12,TO1937,Alarm Clock,487.9,22,10733.8
2023-04-13,BE7583,Hair Dryer,365.36,9,3288.24
2023-01-27,SP9693,Hair Dryer,146.94,45,6612.3
2023-09-12,CL8785,Necklace,262.31,43,11279.33
2023-07-12,BE1272,Mixer Grinder,320.55,3,961.65
2023-11-30,EL4826,Power Bank,307.31,26,7990.06
2024-09-19,BE8010,Volleyball,470.15,31,14574.65
2024-11-05,EL7305,Baking Tray,153.99,13,2001.87
2024-12-30,HO9267,Hair Dryer,25.56,32,817.92
2023-03-31,CL8648,Moisturizer,92.35,29,2678.15
2023-04-29,TO4946,Boots,129.24,11,1421.64
2024-11-06,EL2728,Router,223.1,46,10262.6
2023-01-30,HO7283,Tea Set,385.49,15,5782.35
2023-09-21,EL3016,Tie,336.08,35,11762.8
2024-10-10,EL2481,Measuring Cups,399.81,22,8795.82
2023-08-18,SP2059,Table Runner,325.55,25,8138.75
2024-01-26,EL8159,Mattress,406.14,15,6092.099999999999
2023-09-23,BE2436,Duvet,64.58,22,1420.76
2024-08-29,HO7025,Chess Set,72.43,21,1521.0300000000002
2024-01-25,SP6092,File Cabinet,40.32,35,1411.2
2023-07-14,TO6237,Router,387.93,44,17068.920000000002
2023-05-10,SP4639,Refrigerator,62.23,1,62.23
2024-07-05,TO3370,Foundation,409.91,19,7788.290000000001
2023-08-13,TO3415,Track Pants,304.72,10,3047.2000000000003
2024-11-12,EL6245,Deodorant,161.36,45,7261.200000000001
2023-05-07,CL8836,Suitcase,319.23,14,4469.22
2024-05-21,CL1963,Air Conditioner,490.76,22,10796.72
2023-06-06,EL4687,Chess Set,353.2,4,1412.8
2023-07-03,TO5900,Punching Bag,492.35,43,21171.05
2023-06-13,BE7427,Mattress,175.33,44,7714.52
2024-04-29,CL7407,Hair Dryer,45.19,47,2123.93
2023-10-17,CL9978,Carrom Board,202.95,9,1826.55
2023-11-28,SP5981,Tie,234.19,11,2576.09
2024-08-14,HO8904,Refrigerator,152.63,10,1526.3
2023-08-03,HO1149,Slippers,187.49,37,6937.13
2023-04-15,EL7169,Juicer,475.7,28,13319.6
2024-11-26,HO2573,File Cabinet,184.24,31,5711.4400000000005
2023-07-03,BE9444,Graphic Card,328.55,38,12484.9
2024-03-20,HO5014,Badminton Racket,26.66,16,426.56
2024-02-11,TO3826,Punching Bag,329.87,25,8246.75
2024-12-09,EL8596,Deodorant,433.8,42,18219.6
2024-01-27,CL7018,Induction Cooktop,15.69,8,125.52
2023-03-26,BE9351,Electric Shaver,120.22,38,4568.36
2024-08-09,SP5484,Tablet,349.93,7,2449.51
2024-08-30,HO8932,Hoverboard,499.98,45,22499.1
2024-03-20,CL3051,Juicer,58.73,5,293.65
2024-12-31,SP7640,Diary,408.31,2,816.62
2024-02-08,SP9684,Standing Desk,249.4,34,8479.6
2024-08-21,SP4399,Mascara,483.18,8,3865.44
2023-07-05,SP1087,Mirror,281.81,21,5918.01
2023-05-06,BE4378,Suitcase,329.79,6,1978.74
2024-07-29,CL2386,Deodorant,490.16,33,16175.28
2023-11-02,CL3811,Marker Set,217.3,43,9343.9
2023-01-01,HO1756,Earbuds,473.65,34,16104.1
2023-10-28,EL8289,Mascara,78.53,32,2512.96
2024-12-12,CL6769,Diary,307.02,33,10131.66
2023-08-03,EL1732,Treadmill,126.18,13,1640.34
2023-05-26,CL3198,Duvet,305.05,14,4270.7
2024-08-28,CL3105,Alarm Clock,367.26,28,10283.28
2023-03-18,SP5270,Measuring Cups,197.07,11,2167.77
2024-02-14,TO5164,Refrigerator,341.5,45,15367.5
2023-05-27,SP2156,Volleyball,318.49,18,5732.82
2024-10-10,EL7097,Washing Machine,286.18,42,12019.56
2024-06-07,SP7876,Alarm Clock,412.57,21,8663.97
2024-03-20,TO5055,Slippers,47.99,8,383.92
2024-06-28,BE7664,Measuring Cups,42.32,41,1735.12
2023-04-02,CL5476,Necklace,81.7,15,1225.5
2023-10-08,BE7179,Volleyball,489.95,15,7349.25
2024-01-23,BE3879,Punching Bag,267.97,20,5359.400000000001
2024-08-25,TO9666,Mirror,180.96,37,6695.52
2023-10-16,SP2623,Hair Dryer,449.32,11,4942.52
2023-11-22,TO6655,Moisturizer,404.98,44,17819.120000000003
2024-06-28,SP7597,Alarm Clock,243.66,9,2192.94
2023-09-23,BE3547,Sunscreen,332.21,10,3322.1
2024-01-23,SP1866,Speaker,460.04,41,18861.64
2024-01-15,EL7852,Skateboard,356.33,12,4275.96
2024-03-25,CL9228,Chess Set,150.54,28,4215.12
2024-06-17,EL6000,Slippers,321.46,6,1928.76
2023-11-09,TO2476,Standing Desk,320.99,5,1604.95
2023-09-03,BE1940,Moisturizer,51.45,19,977.55
2024-07-21,TO7946,Power Bank,341.75,47,16062.25
2023-05-20,TO9437,Moisturizer,345.71,44,15211.24
2024-06-29,EL7643,Table Runner,16.81,13,218.53
2023-01-08,EL9754,Tablet,377.34,16,6037.44
2024-11-08,SP1693,Boots,307.61,11,3383.71
2024-11-21,SP3864,Dart Board,46.81,9,421.29
2024-06-10,CL7925,Standing Desk,252.8,11,2780.8
2024-01-18,BE5092,Volleyball,417.55,50,20877.5
2023-05-01,CL8915,Moisturizer,153.84,14,2153.76
2023-01-03,EL7449,File Cabinet,116.56,20,2331.2
2024-10-20,SP8586,Badminton Racket,447.32,32,14314.24
2023-02-28,CL8542,Air Conditioner,170.99,23,3932.77
2023-04-20,BE4050,Punching Bag,207.01,1,207.01
2023-04-14,TO4236,Ergonomic Chair,51.52,33,1700.16
2023-06-07,TO8985,File Cabinet,13.39,50,669.5
2024-11-03,CL8711,Router,203.73,20,4074.6
2024-01-09,TO9788,Refrigerator,407.66,7,2853.6200000000003
2024-03-25,EL3651,Ergonomic Chair,78.54,48,3769.92
2024-03-20,BE4251,Table Runner,64.23,19,1220.37
2023-02-11,HO7898,Mirror,374.52,3,1123.56
2023-06-14,EL8852,Fountain Pen,480.25,18,8644.5
2023-05-02,TO9119,Resistance Bands,401.91,46,18487.86
2023-05-11,CL9222,Moisturizer,365.74,48,17555.52
2024-02-03,HO2767,Duvet,398.43,9,3585.87
2023-06-09,CL1223,Boots,386.02,16,6176.32
2023-02-23,EL8039,Earbuds,488.45,48,23445.6
2023-01-09,TO5742,Measuring Cups,148.29,6,889.74
2024-03-15,HO3498,Washing Machine,367.33,12,4407.96
2023-09-13,CL5317,Mixer Grinder,497.19,16,7955.04
2024-11-13,TO8764,Earbuds,356.17,7,2493.19
2024-12-18,EL3968,Earbuds,102.45,38,3893.1
2024-10-06,EL4758,Hoodie,69.03,26,1794.78
2023-02-09,CL3395,Punching Bag,218.89,40,8755.599999999999
2023-07-24,BE7231,Router,209.58,20,4191.6
2024-12-17,EL4633,Air Conditioner,174.73,31,5416.63
2023-03-04,SP1846,Boots,159.1,18,2863.8
2024-01-08,CL7849,Earrings,131.01,4,524.04
2023-07-06,BE1854,Grill Pan,333.61,21,7005.81
2023-08-06,CL5590,Power Bank,455.16,7,3186.1200000000003
2024-03-17,HO9049,Air Conditioner,188.15,20,3763.0
2023-04-25,BE3134,Standing Desk,172.29,48,8269.92
2024-01-06,EL9664,Grill Pan,306.31,16,4900.96
2024-10-27,CL7292,Smartwatch,52.74,7,369.18
2023-05-14,EL2971,Sunscreen,30.11,42,1264.62
2023-07-15,HO2616,Dart Board,46.69,35,1634.15
2024-09-25,CL8769,Router,494.93,13,6434.09
2024-06-30,EL1717,Boots,72.64,27,1961.28
2024-07-17,EL6690,Measuring Cups,448.51,29,13006.79
2024-10-06,EL8145,Deodorant,43.18,27,1165.86
2024-06-20,SP3735,Smartwatch,303.59,45,13661.55
2023-05-13,CL1996,Fountain Pen,399.25,45,17966.25
2023-07-14,EL9110,Sunscreen,345.5,33,11401.5
2023-03-18,HO9344,Standing Desk,198.23,50,9911.5
2024-02-04,TO5448,Grill Pan,111.39,1,111.39
2023-06-13,SP1145,Dart Board,440.79,33,14546.070000000002
2024-04-11,SP5240,Treadmill,158.67,15,2380.05
2023-10-31,EL2951,Juicer,93.84,3,281.52
2024-06-30,HO1640,Suitcase,323.41,18,5821.38
2023-05-17,CL5079,Baking Tray,494.87,14,6928.18
2024-07-01,BE6692,Induction Cooktop,320.01,24,7680.24
2023-11-29,BE5326,Measuring Cups,363.82,27,9823.14
2024-09-18,CL1938,Slippers,316.72,1,316.72
2023-12-31,HO3895,Mixer Grinder,135.43,2,270.86
2024-07-04,EL2743,Suitcase,364.08,45,16383.6
2024-01-27,EL4377,Hair Dryer,410.26,15,6153.9
2023-11-29,CL7479,Mascara,86.26,15,1293.9
2024-03-20,CL8848,Earbuds,55.91,12,670.92
2024-04-15,HO4094,Badminton Racket,289.13,47,13589.11
2023-07-04,EL1344,Grill Pan,161.98,12,1943.76
2024-02-08,EL4077,Fountain Pen,44.03,5,220.15
2024-03-12,HO7594,Badminton Racket,59.11,34,2009.74
2023-05-21,EL2633,Sunscreen,195.16,2,390.32
2023-04-23,BE3165,Badminton Racket,131.69,6,790.14
2023-10-02,HO1221,Standing Desk,398.28,1,398.28
2023-04-19,SP2392,Air Conditioner,109.14,31,3383.34
2024-07-30,TO6036,Treadmill,172.56,10,1725.6
2023-09-07,BE5382,Gaming Console,317.47,8,2539.76
2023-01-22,BE9923,Power Bank,155.4,33,5128.2
